scenario_id,complexity,map_size,terrain_template,weather_template,fire_template,drone_template,num_drones,difficulty,duration,success_probability
0,hard,80,mountainous,extreme,large_fire,extended,5,0.9000000000000001,48,0.30000000000000004
1,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
2,hard,80,urban_interface,severe,large_fire,extended,5,0.8400000000000001,48,0.30000000000000004
3,medium,50,urban_interface,extreme,small_outbreak,massive,10,0.6,12,0.8999999999999999
4,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
5,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
6,medium,50,urban_interface,moderate,large_fire,massive,10,0.63,36,0.7
7,medium,50,coastal,extreme,large_fire,extended,5,0.78,48,0.6
8,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
9,medium,50,forest_dense,moderate,medium_fire,minimal,1,0.54,60,0.39999999999999997
10,medium,50,urban_interface,moderate,medium_fire,minimal,1,0.54,60,0.39999999999999997
11,medium,50,urban_interface,severe,large_fire,extended,5,0.72,48,0.6
12,medium,50,forest_sparse,moderate,small_outbreak,massive,10,0.44999999999999996,12,0.8999999999999999
13,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
14,medium,50,forest_dense,extreme,medium_fire,minimal,1,0.69,60,0.39999999999999997
15,medium,50,urban_interface,calm,mega_fire,standard,3,0.6000000000000001,100,0.39999999999999997
16,medium,50,mixed_terrain,severe,mega_fire,minimal,1,0.78,150,0.19999999999999996
17,medium,50,forest_dense,moderate,medium_fire,massive,10,0.54,24,0.8
18,hard,80,mountainous,severe,mega_fire,massive,10,0.9,60,0.30000000000000004
19,medium,50,mixed_terrain,moderate,mega_fire,extended,5,0.6900000000000001,80,0.5
20,medium,50,forest_sparse,calm,medium_fire,massive,10,0.45,24,0.8
21,hard,80,urban_interface,extreme,large_fire,massive,10,0.9000000000000001,36,0.4
22,hard,80,mountainous,severe,mega_fire,massive,10,0.9,60,0.30000000000000004
23,medium,50,mountainous,calm,mega_fire,standard,3,0.6000000000000001,100,0.39999999999999997
24,hard,80,urban_interface,extreme,mega_fire,extended,5,0.96,80,0.20000000000000004
25,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
26,medium,50,mountainous,severe,mega_fire,minimal,1,0.78,150,0.19999999999999996
27,hard,80,urban_interface,extreme,mega_fire,massive,10,0.96,60,0.30000000000000004
28,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
29,hard,80,mountainous,severe,mega_fire,extended,5,0.9,80,0.20000000000000004
30,hard,80,mountainous,extreme,mega_fire,extended,5,0.96,80,0.20000000000000004
31,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
32,medium,50,coastal,extreme,medium_fire,standard,3,0.69,40,0.6
33,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
34,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
35,medium,50,urban_interface,moderate,mega_fire,extended,5,0.6900000000000001,80,0.5
36,hard,80,mountainous,extreme,mega_fire,massive,10,0.96,60,0.30000000000000004
37,hard,80,urban_interface,extreme,large_fire,extended,5,0.9000000000000001,48,0.30000000000000004
38,hard,80,mountainous,extreme,mega_fire,extended,5,0.96,80,0.20000000000000004
39,medium,50,forest_sparse,calm,small_outbreak,massive,10,0.36,12,0.8999999999999999
40,medium,50,mixed_terrain,severe,medium_fire,standard,3,0.63,40,0.6
41,hard,80,urban_interface,extreme,large_fire,massive,10,0.9000000000000001,36,0.4
42,medium,50,mixed_terrain,extreme,small_outbreak,extended,5,0.6,16,0.7999999999999999
43,medium,50,forest_dense,extreme,small_outbreak,massive,10,0.6,12,0.8999999999999999
44,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
45,medium,50,mountainous,extreme,mega_fire,standard,3,0.8400000000000001,100,0.39999999999999997
46,medium,50,coastal,moderate,medium_fire,extended,5,0.54,32,0.7
47,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
48,medium,50,forest_dense,moderate,large_fire,standard,3,0.63,60,0.49999999999999994
49,medium,50,coastal,severe,small_outbreak,massive,10,0.54,12,0.8999999999999999
50,medium,50,mixed_terrain,extreme,medium_fire,standard,3,0.69,40,0.6
51,medium,50,forest_dense,extreme,mega_fire,minimal,1,0.8400000000000001,150,0.19999999999999996
52,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
53,hard,80,mountainous,severe,mega_fire,extended,5,0.9,80,0.20000000000000004
54,hard,80,urban_interface,extreme,mega_fire,extended,5,0.96,80,0.20000000000000004
55,medium,50,forest_dense,moderate,small_outbreak,extended,5,0.44999999999999996,16,0.7999999999999999
56,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
57,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
58,hard,80,mountainous,severe,large_fire,massive,10,0.8400000000000001,36,0.4
59,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
60,medium,50,urban_interface,extreme,medium_fire,massive,10,0.69,24,0.8
61,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
62,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
63,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
64,medium,50,coastal,moderate,small_outbreak,extended,5,0.44999999999999996,16,0.7999999999999999
65,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
66,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
67,medium,50,coastal,calm,small_outbreak,standard,3,0.36,20,0.7
68,medium,50,mixed_terrain,extreme,large_fire,minimal,1,0.78,90,0.29999999999999993
69,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
