scenario,seed,keyed_rng_diverged,shared_rng_diverged,sequential_observation_diverged,correct_reset_diverged,incomplete_reset_diverged,reactive_burned_correct,reactive_burned_conflated,coordinated_burned_correct,coordinated_burned_conflated,reactive_benefit_sign_changed,coordinated_benefit_sign_changed,response_ranking_changed
calm_humid,0,False,True,False,False,True,134,142,135,143,False,True,False
calm_humid,1,False,True,False,False,True,127,138,135,142,False,False,False
calm_humid,2,False,True,False,False,True,150,158,150,158,True,True,False
calm_humid,3,False,True,False,False,True,284,292,284,291,True,False,True
calm_humid,4,False,True,False,False,True,285,294,286,294,True,True,True
calm_humid,5,False,True,False,False,True,132,142,134,142,False,False,True
calm_humid,6,False,True,False,False,True,283,291,283,291,True,True,False
calm_humid,7,False,True,False,False,True,125,133,130,138,False,False,False
calm_humid,8,False,True,False,False,True,286,295,286,295,True,True,False
calm_humid,9,False,True,False,False,True,287,297,296,298,False,True,False
calm_humid,10,False,True,False,False,True,135,141,134,140,True,False,False
calm_humid,11,False,True,False,False,True,6,6,6,6,False,False,False
calm_humid,12,False,True,False,False,True,124,135,135,141,False,True,False
calm_humid,13,False,True,False,False,True,274,283,275,285,False,False,False
calm_humid,14,False,True,False,False,True,132,140,132,140,True,True,False
calm_humid,15,False,True,False,False,True,279,290,285,289,True,False,True
calm_humid,16,False,True,False,False,True,277,288,282,288,True,True,True
calm_humid,17,False,True,False,False,True,285,293,285,293,True,True,False
calm_humid,18,False,True,False,False,True,132,140,137,142,False,True,False
calm_humid,19,False,True,False,False,True,284,292,284,292,True,True,False
warm_crosswind,0,False,True,False,False,True,304,312,304,312,True,True,False
warm_crosswind,1,False,True,False,False,True,304,312,308,317,False,True,False
warm_crosswind,2,False,True,False,False,True,309,317,312,318,False,True,False
warm_crosswind,3,False,True,False,False,True,309,319,310,319,False,False,True
warm_crosswind,4,False,True,False,False,True,305,313,304,313,False,False,True
warm_crosswind,5,False,True,False,False,True,305,312,294,302,True,False,False
warm_crosswind,6,False,True,False,False,True,311,317,311,317,True,True,False
warm_crosswind,7,False,True,False,False,True,317,324,317,324,True,True,False
warm_crosswind,8,False,True,False,False,True,300,309,303,310,False,False,False
warm_crosswind,9,False,True,False,False,True,309,315,307,314,True,False,False
warm_crosswind,10,False,True,False,False,True,310,316,312,316,False,False,True
warm_crosswind,11,False,True,False,False,True,306,313,306,313,True,True,False
warm_crosswind,12,False,True,False,False,True,301,308,301,308,True,True,False
warm_crosswind,13,False,True,False,False,True,307,317,311,317,False,False,True
warm_crosswind,14,False,True,False,False,True,322,330,321,330,True,True,True
warm_crosswind,15,False,True,False,False,True,314,322,315,322,False,False,True
warm_crosswind,16,False,True,False,False,True,302,312,304,312,True,True,True
warm_crosswind,17,False,True,False,False,True,310,319,312,317,False,False,True
warm_crosswind,18,False,True,False,False,True,313,318,307,318,False,False,True
warm_crosswind,19,False,True,False,False,True,307,315,307,315,True,True,False
hot_dry,0,False,True,False,False,True,397,409,402,410,False,True,False
hot_dry,1,False,True,False,False,True,342,348,343,348,True,True,True
hot_dry,2,False,True,False,False,True,344,351,344,351,True,True,False
hot_dry,3,False,True,False,False,True,340,347,341,347,False,False,True
hot_dry,4,False,True,False,False,True,393,402,393,402,False,False,False
hot_dry,5,False,True,False,False,True,385,394,386,394,True,True,True
hot_dry,6,False,True,False,False,True,340,347,340,347,False,False,False
hot_dry,7,False,True,False,False,True,339,346,339,346,True,True,False
hot_dry,8,False,True,False,False,True,388,394,386,393,True,False,False
hot_dry,9,False,True,False,False,True,396,403,396,402,True,False,True
hot_dry,10,False,True,False,False,True,380,386,380,386,False,False,False
hot_dry,11,False,True,False,False,True,347,354,347,354,True,True,False
hot_dry,12,False,True,False,False,True,329,337,334,338,False,True,False
hot_dry,13,False,True,False,False,True,336,343,336,343,True,True,False
hot_dry,14,False,True,False,False,True,395,401,395,401,False,False,False
hot_dry,15,False,True,False,False,True,399,406,397,405,False,False,False
hot_dry,16,False,True,False,False,True,400,406,400,406,True,True,False
hot_dry,17,False,True,False,False,True,399,406,399,406,False,False,False
hot_dry,18,False,True,False,False,True,360,365,358,365,False,False,True
hot_dry,19,False,True,False,False,True,382,390,382,390,False,False,False
strong_northwind,0,False,True,False,False,True,408,416,408,416,True,True,False
strong_northwind,1,False,True,False,False,True,407,415,404,415,True,True,True
strong_northwind,2,False,True,False,False,True,177,184,177,184,True,True,False
strong_northwind,3,False,True,False,False,True,403,411,403,411,True,True,False
strong_northwind,4,False,True,False,False,True,404,411,400,410,True,False,False
strong_northwind,5,False,True,False,False,True,409,416,408,416,True,True,True
strong_northwind,6,False,True,False,False,True,398,406,398,406,True,True,False
strong_northwind,7,False,True,False,False,True,401,409,397,406,True,False,False
strong_northwind,8,False,True,False,False,True,409,416,409,416,True,True,False
strong_northwind,9,False,True,False,False,True,406,414,405,414,True,True,True
