scenario,seed,steps,per_step_exact_match,final_digest_match,affected_area_match
calm_humid,0,25,True,True,True
calm_humid,1,24,True,True,True
calm_humid,2,26,True,True,True
calm_humid,3,25,True,True,True
calm_humid,4,30,True,True,True
calm_humid,5,23,True,True,True
calm_humid,6,27,True,True,True
calm_humid,7,25,True,True,True
calm_humid,8,25,True,True,True
calm_humid,9,29,True,True,True
calm_humid,10,21,True,True,True
calm_humid,11,4,True,True,True
calm_humid,12,25,True,True,True
calm_humid,13,28,True,True,True
calm_humid,14,29,True,True,True
calm_humid,15,28,True,True,True
calm_humid,16,25,True,True,True
calm_humid,17,26,True,True,True
calm_humid,18,23,True,True,True
calm_humid,19,29,True,True,True
warm_crosswind,0,20,True,True,True
warm_crosswind,1,18,True,True,True
warm_crosswind,2,19,True,True,True
warm_crosswind,3,19,True,True,True
warm_crosswind,4,21,True,True,True
warm_crosswind,5,21,True,True,True
warm_crosswind,6,18,True,True,True
warm_crosswind,7,18,True,True,True
warm_crosswind,8,19,True,True,True
warm_crosswind,9,17,True,True,True
warm_crosswind,10,18,True,True,True
warm_crosswind,11,18,True,True,True
warm_crosswind,12,22,True,True,True
warm_crosswind,13,19,True,True,True
warm_crosswind,14,20,True,True,True
warm_crosswind,15,18,True,True,True
warm_crosswind,16,17,True,True,True
warm_crosswind,17,20,True,True,True
warm_crosswind,18,18,True,True,True
warm_crosswind,19,20,True,True,True
hot_dry,0,32,True,True,True
hot_dry,1,19,True,True,True
hot_dry,2,18,True,True,True
hot_dry,3,18,True,True,True
hot_dry,4,23,True,True,True
hot_dry,5,31,True,True,True
hot_dry,6,19,True,True,True
hot_dry,7,17,True,True,True
hot_dry,8,32,True,True,True
hot_dry,9,20,True,True,True
hot_dry,10,22,True,True,True
hot_dry,11,19,True,True,True
hot_dry,12,19,True,True,True
hot_dry,13,20,True,True,True
hot_dry,14,28,True,True,True
hot_dry,15,20,True,True,True
hot_dry,16,29,True,True,True
hot_dry,17,27,True,True,True
hot_dry,18,23,True,True,True
hot_dry,19,32,True,True,True
strong_northwind,0,24,True,True,True
strong_northwind,1,24,True,True,True
strong_northwind,2,17,True,True,True
strong_northwind,3,27,True,True,True
strong_northwind,4,26,True,True,True
strong_northwind,5,22,True,True,True
strong_northwind,6,25,True,True,True
strong_northwind,7,26,True,True,True
strong_northwind,8,28,True,True,True
strong_northwind,9,26,True,True,True
strong_northwind,10,28,True,True,True
strong_northwind,11,18,True,True,True
strong_northwind,12,26,True,True,True
strong_northwind,13,28,True,True,True
strong_northwind,14,24,True,True,True
strong_northwind,15,26,True,True,True
strong_northwind,16,24,True,True,True
strong_northwind,17,24,True,True,True
strong_northwind,18,29,True,True,True
strong_northwind,19,18,True,True,True
constrained_water,0,25,True,True,True
constrained_water,1,22,True,True,True
constrained_water,2,19,True,True,True
constrained_water,3,21,True,True,True
constrained_water,4,21,True,True,True
constrained_water,5,23,True,True,True
constrained_water,6,22,True,True,True
constrained_water,7,18,True,True,True
constrained_water,8,27,True,True,True
constrained_water,9,21,True,True,True
constrained_water,10,20,True,True,True
constrained_water,11,19,True,True,True
constrained_water,12,19,True,True,True
constrained_water,13,20,True,True,True
constrained_water,14,21,True,True,True
constrained_water,15,18,True,True,True
constrained_water,16,19,True,True,True
constrained_water,17,22,True,True,True
constrained_water,18,22,True,True,True
constrained_water,19,24,True,True,True
dual_front,0,18,True,True,True
dual_front,1,19,True,True,True
dual_front,2,19,True,True,True
dual_front,3,17,True,True,True
dual_front,4,22,True,True,True
dual_front,5,24,True,True,True
dual_front,6,20,True,True,True
dual_front,7,18,True,True,True
dual_front,8,17,True,True,True
dual_front,9,17,True,True,True
dual_front,10,20,True,True,True
dual_front,11,17,True,True,True
dual_front,12,23,True,True,True
dual_front,13,17,True,True,True
dual_front,14,33,True,True,True
dual_front,15,19,True,True,True
dual_front,16,18,True,True,True
dual_front,17,20,True,True,True
dual_front,18,20,True,True,True
dual_front,19,35,True,True,True
single_responder,0,17,True,True,True
single_responder,1,17,True,True,True
single_responder,2,18,True,True,True
single_responder,3,16,True,True,True
single_responder,4,17,True,True,True
single_responder,5,25,True,True,True
single_responder,6,17,True,True,True
single_responder,7,18,True,True,True
single_responder,8,19,True,True,True
single_responder,9,17,True,True,True
single_responder,10,16,True,True,True
single_responder,11,16,True,True,True
single_responder,12,18,True,True,True
single_responder,13,19,True,True,True
single_responder,14,17,True,True,True
single_responder,15,32,True,True,True
single_responder,16,18,True,True,True
single_responder,17,32,True,True,True
single_responder,18,20,True,True,True
single_responder,19,16,True,True,True
large_grid_high_wind,0,23,True,True,True
large_grid_high_wind,1,26,True,True,True
large_grid_high_wind,2,27,True,True,True
large_grid_high_wind,3,24,True,True,True
large_grid_high_wind,4,23,True,True,True
large_grid_high_wind,5,25,True,True,True
large_grid_high_wind,6,25,True,True,True
large_grid_high_wind,7,28,True,True,True
large_grid_high_wind,8,23,True,True,True
large_grid_high_wind,9,28,True,True,True
large_grid_high_wind,10,27,True,True,True
large_grid_high_wind,11,26,True,True,True
large_grid_high_wind,12,24,True,True,True
large_grid_high_wind,13,26,True,True,True
large_grid_high_wind,14,26,True,True,True
large_grid_high_wind,15,23,True,True,True
large_grid_high_wind,16,25,True,True,True
large_grid_high_wind,17,38,True,True,True
large_grid_high_wind,18,28,True,True,True
large_grid_high_wind,19,24,True,True,True
